,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,Indexes
0,18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu,-1
1,15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320,-1
2,18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite,-1
3,16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst,-1
4,17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino,-1
5,15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500,-1
6,14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala,-1
7,14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii,-1
8,14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina,-1
9,15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl,-1
10,15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se,-1
11,14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340,-1
12,15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo,-1
13,14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw),-1
14,24.0,4,113.0,95.0,2372.0,15.0,70,3,toyota corona mark ii,-1
15,22.0,6,198.0,95.0,2833.0,15.5,70,1,plymouth duster,-1
16,18.0,6,199.0,97.0,2774.0,15.5,70,1,amc hornet,-1
17,21.0,6,200.0,85.0,2587.0,16.0,70,1,ford maverick,-1
18,27.0,4,97.0,88.0,2130.0,14.5,70,3,datsun pl510,-1
19,26.0,4,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan,-1
20,25.0,4,110.0,87.0,2672.0,17.5,70,2,peugeot 504,-1
21,24.0,4,107.0,90.0,2430.0,14.5,70,2,audi 100 ls,-1
22,25.0,4,104.0,95.0,2375.0,17.5,70,2,saab 99e,-1
23,26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002,-1
24,21.0,6,199.0,90.0,2648.0,15.0,70,1,amc gremlin,-1
25,10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250,-1
26,10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20,-1
27,11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200,-1
